epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.68767,4.05271,10.6651,0.70257,7.48329,2.45966,0.15686,0.07143,0.0125,0.01,0,0,0,0,2.86911,11.2528,0.69463,6.54916,2.44358,0,0,0
2,4.74023,3.58536,10.7552,0.70494,7.73972,2.43331,0.15676,0.07143,0.0125,0.01,0,0,0,0,2.85046,11.2533,0.69446,6.46469,2.41682,1.9802e-05,1.9802e-05,1.9802e-05
3,7.03555,2.89877,10.3664,0.69496,7.12682,2.19955,0.15679,0.07143,0.0125,0.01,0,0,0,0,2.83109,11.2577,0.6944,6.36874,2.39526,3.9208e-05,3.9208e-05,3.9208e-05
4,9.07647,3.41561,10.5849,0.6949,8.4336,2.5894,0.15686,0.07143,0.0125,0.01,0,0,0,0,2.77829,11.2565,0.69436,6.19167,2.32956,5.8218e-05,5.8218e-05,5.8218e-05
5,11.178,2.97554,10.5127,0.69014,6.70335,2.79089,0.15721,0.07143,0.0125,0.01,0,0,0,0,2.7076,11.2749,0.69415,5.94737,2.26898,7.6832e-05,7.6832e-05,7.6832e-05
6,13.139,2.4936,10.5948,0.68824,6.3545,2.06507,0.15743,0.07143,0.01727,0.01048,0,0,0,0,2.67022,11.278,0.69407,5.64316,2.23265,9.505e-05,9.505e-05,9.505e-05
7,15.3043,3.2912,10.3299,0.69983,5.50621,2.26404,0.15777,0.07143,0.03367,0.0135,0,0,0,0,2.61983,11.2699,0.69409,5.3779,2.19994,0.000112872,0.000112872,0.000112872
8,17.4656,3.3515,10.621,0.70668,6.23876,2.1911,0.1582,0.07143,0.04583,0.0153,0,0,0,0,2.58901,11.2674,0.6939,5.07562,2.14439,0.000130298,0.000130298,0.000130298
9,19.5862,2.19367,10.4162,0.70036,5.28045,2.00981,0.15869,0.07143,0.05536,0.01818,0,0,0,0,2.59298,11.2759,0.69386,4.69037,2.12225,0.000147328,0.000147328,0.000147328
10,21.6276,3.35285,10.4616,0.69864,3.57415,2.11196,0.15936,0.07143,0.05249,0.01944,0,0,0,0,2.57138,11.2849,0.69365,4.29833,2.05455,0.000163962,0.000163962,0.000163962
11,23.6902,2.77662,10.2747,0.69608,3.72259,1.93776,0.157,0.07143,0.0631,0.02389,0,0,0,0,2.57799,11.2989,0.6935,3.96754,2.01758,0.0001802,0.0001802,0.0001802
12,25.7366,1.87727,10.4714,0.70534,3.49709,1.74164,0.09213,0.22497,0.0595,0.02251,0,0,0,0,2.59888,11.2991,0.6934,3.99433,2.02396,0.000196042,0.000196042,0.000196042
13,27.9951,2.6652,10.4065,0.68932,2.66854,2.05202,0.14303,0.28571,0.09251,0.03872,0,0,0,0,2.56182,11.2953,0.69339,3.22361,2.00281,0.000211488,0.000211488,0.000211488
14,30.1632,1.87356,9.95702,0.67907,2.20315,1.53676,0.21503,0.35714,0.10995,0.04656,0,0,0,0,2.49218,11.2784,0.69344,2.89134,1.97674,0.000226538,0.000226538,0.000226538
15,32.2886,2.09581,9.71419,0.68182,2.31674,1.65019,0.21142,0.35714,0.15215,0.04937,0,0,0,0,2.4175,11.2806,0.6933,2.7088,1.93738,0.000241192,0.000241192,0.000241192
16,34.3502,2.28823,10.5839,0.68583,2.44129,2.14947,0.21394,0.2919,0.15649,0.0491,0,0,0,0,2.34873,11.274,0.69325,2.64631,1.90922,0.00025545,0.00025545,0.00025545
17,36.3518,2.07733,9.51002,0.6871,2.17089,2.03936,0.20188,0.28571,0.15948,0.05913,0,0,0,0,2.24275,11.2521,0.69313,2.56437,1.84224,0.000269312,0.000269312,0.000269312
